Time (d), O2 MC1 (%), CO2 MC1 (%), pH MC1, DO MC1 (uM), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM)
    0.812160,  20.9400    , 0.740000E-01,  7.37000    ,  204.320    , 0.813650    ,  20.9300    , 0.740000E-01,  7.53000    ,  286.820
    0.853830,  20.9700    , 0.790000E-01,  7.39000    ,  191.890    , 0.855300    ,  20.9500    , 0.790000E-01,  7.56000    ,  267.830
    0.895530,  20.9600    , 0.710000E-01,  7.43000    ,  184.160    , 0.897010    ,  20.9600    , 0.770000E-01,  7.59000    ,  255.700
    0.937290,  20.9600    , 0.800000E-01,  7.46000    ,  179.820    , 0.938770    ,  20.9600    , 0.800000E-01,  7.61000    ,  247.090
    0.979040,  20.9700    , 0.700000E-01,  7.48000    ,  178.770    , 0.980520    ,  20.9600    , 0.740000E-01,  7.62000    ,  243.630
    1.020790,  20.9600    , 0.650000E-01,  7.49000    ,  177.950    ,  1.02227    ,  20.9500    , 0.610000E-01,  7.64000    ,  241.880
    1.062500,  20.9500    , 0.700000E-01,  7.50000    ,  177.250    ,  1.06397    ,  20.9500    , 0.700000E-01,  7.66000    ,  240.590
    1.104190,  20.9500    , 0.700000E-01,  7.49000    ,  175.780    ,  1.10566    ,  20.9600    , 0.640000E-01,  7.66000    ,  240.180
    1.145890,  20.9300    , 0.690000E-01,  7.48000    ,  175.250    ,  1.14736    ,  20.9400    , 0.690000E-01,  7.67000    ,  238.890
    1.187580,  20.9400    , 0.690000E-01,  7.45000    ,  172.850    ,  1.18905    ,  20.9400    , 0.690000E-01,  7.68000    ,  239.300
    1.229280,  20.9400    , 0.700000E-01,  7.42000    ,  173.090    ,  1.23075    ,  20.9600    , 0.600000E-01,  7.68000    ,  239.470
    1.270980,  20.9300    , 0.700000E-01,  7.36000    ,  170.800    ,  1.27245    ,  20.9500    , 0.600000E-01,  7.68000    ,  238.420
    1.312670,  20.9300    , 0.750000E-01,  7.31000    ,  169.390    ,  1.31414    ,  20.9600    , 0.600000E-01,  7.69000    ,  238.180
    1.354380,  20.9200    , 0.800000E-01,  7.26000    ,  168.050    ,  1.35584    ,  20.9600    , 0.560000E-01,  7.68000    ,  236.780
    1.396080,  20.8900    , 0.900000E-01,  7.22000    ,  166.170    ,  1.39755    ,  20.9400    , 0.600000E-01,  7.67000    ,  234.960
    1.437770,  20.9000    , 0.990000E-01,  7.19000    ,  165.230    ,  1.43924    ,  20.9500    , 0.590000E-01,  7.66000    ,  234.320
    1.479470,  20.8800    , 0.100000    ,  7.17000    ,  163.830    ,  1.48094    ,  20.9600    , 0.600000E-01,  7.64000    ,  231.500
    1.521240,  20.8800    , 0.108000    ,  7.16000    ,  164.470    ,  1.52271    ,  20.9500    , 0.580000E-01,  7.62000    ,  229.750
    1.576810,  20.8600    , 0.109000    ,  7.19000    ,  166.110    ,  1.57828    ,  20.9300    , 0.590000E-01,  7.60000    ,  228.050
    1.618530,  20.8700    , 0.100000    ,  7.22000    ,  168.050    ,  1.62000    ,  20.9200    , 0.600000E-01,  7.59000    ,  224.590
    1.660280,  20.8700    , 0.800000E-01,  7.25000    ,  169.630    ,  1.66175    ,  20.9000    , 0.600000E-01,  7.56000    ,  221.070
    1.702000,  20.8900    , 0.810000E-01,  7.26000    ,  168.110    ,  1.70347    ,  20.9300    , 0.700000E-01,  7.53000    ,  219.380
    1.743720,  20.9000    , 0.840000E-01,  7.27000    ,  168.810    ,  1.74519    ,  20.9100    , 0.800000E-01,  7.51000    ,  218.790
    1.785440,  20.9000    , 0.900000E-01,  7.29000    ,  169.340    ,  1.78691    ,  20.9100    , 0.810000E-01,  7.49000    ,  217.620
    1.827160,  20.9000    , 0.890000E-01,  7.32000    ,  171.330    ,  1.82863    ,  20.8900    , 0.880000E-01,  7.46000    ,  215.920
    1.868880,  20.9000    , 0.860000E-01,  7.34000    ,  171.620    ,  1.87035    ,  20.9000    , 0.940000E-01,  7.42000    ,  214.160
