Time (d), pH-MC1, Time (d), DO-MC1, Time (d), pH-MC2, Time (d), DO-MC2
   0.828333,  7.47,    0.828391,  8.74,    0.828495,  7.50,    0.828542,  8.96
   0.835266,  7.46,    0.835336,  8.61,    0.835428,  7.49,    0.835475,  8.93
   0.842211,  7.47,    0.842280,  8.52,    0.842373,  7.50,    0.842419,  8.84
   0.849155,  7.47,    0.849225,  8.41,    0.849317,  7.50,    0.849363,  8.74
   0.856100,  7.48,    0.856169,  8.31,    0.856262,  7.50,    0.856308,  8.65
   0.863044,  7.48,    0.863113,  8.22,    0.863206,  7.51,    0.863252,  8.55
   0.869988,  7.49,    0.870058,  8.14,    0.870150,  7.51,    0.870197,  8.48
   0.876933,  7.49,    0.877002,  8.07,    0.877095,  7.52,    0.877141,  8.41
   0.883877,  7.50,    0.883947,  8.01,    0.884039,  7.52,    0.884086,  8.34
   0.890822,  7.51,    0.890891,  7.96,    0.890984,  7.53,    0.891030,  8.28
   0.897766,  7.51,    0.897836,  7.91,    0.897928,  7.53,    0.897975,  8.22
   0.904711,  7.52,    0.904780,  7.87,    0.904873,  7.53,    0.904919,  8.17
   0.911655,  7.52,    0.911725,  7.83,    0.911817,  7.54,    0.911863,  8.12
   0.918600,  7.52,    0.918669,  7.81,    0.918762,  7.54,    0.918808,  8.09
   0.925544,  7.53,    0.925613,  7.77,    0.925706,  7.54,    0.925752,  8.05
   0.932488,  7.53,    0.932558,  7.74,    0.932650,  7.55,    0.932697,  8.01
   0.939433,  7.54,    0.939502,  7.72,    0.939595,  7.55,    0.939641,  7.98
   0.946377,  7.54,    0.946447,  7.70,    0.946539,  7.55,    0.946597,  7.95
   0.953322,  7.54,    0.953391,  7.67,    0.953484,  7.56,    0.953530,  7.93
   0.960266,  7.55,    0.960336,  7.66,    0.960428,  7.56,    0.960475,  7.90
   0.967211,  7.55,    0.967280,  7.64,    0.967373,  7.56,    0.967419,  7.89
   0.974155,  7.55,    0.974225,  7.64,    0.974317,  7.57,    0.974363,  7.87
