Sample_ID,Siders.Pond,MC1.D0H20.D01,MC1.D10H11.D01,MC1.D15H11.D01,MC1.D16H11.D1,MC1.D17H15.D1,MC1.D18H18.D1,MC1.D19H20.D1,MC1.D21H11.D10,MC1.D21H19.D10,MC1.D22H19.D10,MC1.D22H9.D10,MC1.D23H13.D10,MC2.D0H20.D01,MC2.D6H19.D01,MC2.D9H11.D01,MC2.D10H12.D01,MC2.D15H11.D01,MC2.D16H11.D1,MC2.D17H15.D1,MC2.D18H18.D1,MC2.D19H20.D1,MC2.D21H11.D10,MC2.D21H19.D10,MC2.D22H9.D10,MC2.D23H13.D10,Max Rel Abun.,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,0.047100262,0.042936883,0.22077598,2.669069801,42.33620367,35.33859762,11.99464397,6.480319452,82.46235433,83.62069848,90.46645151,85.94251982,84.91348032,0.009957184,0,0.015478811,0,0,0,0,0,0.014428329,0.025569677,0.55128606,0.273923359,0.141521775,90.46645151,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oceanobacter
ASV_2,0,0,0,0.023854646,0.015911644,0.031622906,0.014953373,0.015557745,0.009493257,0.037348941,0.023874861,0.246490576,0.046751891,0,0,0,0.116448668,0.016887613,6.155369161,48.12822412,80.00691663,68.25561502,27.46634579,1.871081343,19.75627292,8.54244464,80.00691663,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter
ASV_5,0,0,0.067192689,1.351763256,2.699363534,10.90990262,50.19031565,59.51356117,0.206232814,0.16167487,0.027038999,0.043125959,0.008031,0,0,0,0,0,0.006139254,0,0.004611084,0.004809443,0,0,0,0,59.51356117,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA
ASV_9,0,0,0,11.67552381,2.515911644,1.14679539,0.31741932,0.201213504,0.020295928,0.038883829,0.018121883,0.039169449,0.002868214,0,0.014782959,0.227022565,55.3507575,1.472599848,2.941469891,0.044179368,0.025360961,0.026795468,0.194780778,0.124245067,0.051765044,0.040434793,55.3507575,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_4,0,0,0.015358329,41.74297945,24.33545489,21.23292131,10.08808896,11.22854328,0.879271965,3.19154379,2.77753807,5.395097093,1.593006147,0,0,0,2.945327938,0.0523516,0.92395767,0.014293325,0.016138794,0.015802456,0.18124389,0.30032748,0.179739737,0.046975715,41.74297945,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_3,0,0,0.744878957,1.500192162,0.705728192,1.203530604,2.969603872,2.16667531,10.53620532,5.246247199,0.478360171,1.007723108,0.244085025,0,4.858217981,7.226884975,1.353862802,7.156970362,32.31242662,2.297327148,1.631747313,3.993898878,7.755884786,7.797817895,12.89812352,28.29840877,32.31242662,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus
ASV_11,0,0,0,0,0.008423811,0.016741539,0.042141323,0.053933517,0.006547073,0.008186069,0,0.007517369,0.004875964,0,0,0,0.277594806,0,11.61930488,30.89762081,0.688204271,0.154589239,0.036098368,0.00987378,0.012222302,0.011892586,30.89762081,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
ASV_13,0,0,9.335944249,1.264296222,0.483901161,0.288326497,0.110790897,0.09645802,0.623936101,0.33102418,0.012081255,0.071217181,0.005449607,0,20.05778793,25.10319207,1.249176626,18.167694,1.858659034,0.196208371,0.028242889,0.014428329,0.021809431,0.059242681,0.006470631,0.004757034,25.10319207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_8,0,0,0.013438538,0.030480936,0.028079371,0.062315727,0.123025475,0.078825909,0.062197198,0.248651857,0.054365648,0.017012993,0.042736391,0,0,0,0.009409993,0,0,0.003248483,0.129110349,0.396435516,9.603670001,23.87726891,14.98741822,5.750660039,23.87726891,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
ASV_24,17.43119266,6.097037355,0,0.00662629,0,0,0,0,0,0,0,0,0,7.833814597,3.245531515,0,0,0,0,0,0,0,0.015040987,0.00164563,0,0,17.43119266,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus_Aquirestis
