SampleID,Observed,Chao1,se.chao1,Shannon,Simpson,chemostat_ID,dilution_rate
MC1.D0H20.D01,164,164.0909091,0.358778829,3.411225895,0.925935756,MC1,D01
MC1.D10H11.D01,309,313.0909091,3.595901487,3.969189691,0.960013453,MC1,D01
MC1.D15H11.D01,258,258.1428571,0.48691845,2.817452057,0.795696432,MC1,D01
MC1.D16H11.D1,253,253.75,1.423410281,2.27461733,0.752316087,MC1,D1
MC1.D17H15.D1,280,287,6.65478398,2.533332785,0.811267905,MC1,D1
MC1.D18H18.D1,237,237.3,0.703891656,2.217662478,0.723804848,MC1,D1
MC1.D19H20.D1,186,187.6153846,1.884103756,1.847343375,0.640936153,MC1,D1
MC1.D21H11.D10,184,185,1.580711438,0.805956515,0.311960732,MC1,D10
MC1.D21H19.D10,208,208,0.055421848,0.93834365,0.303495957,MC1,D10
MC1.D22H19.D10,148,148,0.049830795,0.56025093,0.181262671,MC1,D10
MC1.D22H9.D10,183,183.5,1.297857698,0.807432802,0.259216769,MC1,D10
MC1.D23H13.D10,149,149,0,0.742218272,0.275025636,MC1,D10
MC2.D0H20.D01,188,188,0,3.486091524,0.94163339,MC2,D01
MC2.D6H19.D01,287,289.1538462,2.268301859,3.441765842,0.918324913,MC2,D01
MC2.D9H11.D01,300,307.8571429,6.336770939,3.355969544,0.912737742,MC2,D01
MC2.D10H12.D01,278,280.3333333,2.42347576,2.410574637,0.670586682,MC2,D01
MC2.D15H11.D01,313,314.0714286,1.439902721,3.565211113,0.935427317,MC2,D01
MC2.D16H11.D1,220,220.1111111,0.409654425,2.509567656,0.842602872,MC2,D1
MC2.D17H15.D1,202,202,0,1.750143862,0.675831584,MC2,D1
MC2.D18H18.D1,185,185.4285714,0.912855829,1.120146644,0.371852275,MC2,D1
MC2.D19H20.D1,195,195.3333333,0.758667463,1.463941329,0.533550409,MC2,D1
MC2.D21H11.D10,302,302,0,2.953162183,0.880932848,MC2,D10
MC2.D21H19.D10,341,341.0769231,0.322413289,3.369188307,0.912851538,MC2,D10
MC2.D22H9.D10,249,251,2.585879523,2.767105668,0.884510017,MC2,D10
MC2.D23H13.D10,294,294.75,1.255686084,2.756680463,0.862185994,MC2,D10
