SAMPLE_ID,DISS,SIM,PAIRED_ID,SEQUENTIAL,DILUTION_RATE,PAIRED_DILUTION_RATE,MATCH
D0.8,0.978123911,0.021876089,D6.8,YES,D01,D01,TRUE
D6.8,0.111054532,0.888945468,D9.5,YES,D01,D01,TRUE
D9.5,0.029329243,0.970670757,D10.5,YES,D01,D01,TRUE
D10.5,0.099758319,0.900241681,D15.5,YES,D01,D01,TRUE
D16.5,0.065190065,0.934809935,D17.6,YES,D1,D1,TRUE
D17.6,0.046158126,0.953841874,D18.8,YES,D1,D1,TRUE
D18.8,0.03273793,0.96726207,D19.8,YES,D1,D1,TRUE
D21.5,0.314712613,0.685287387,D21.8,YES,D10,D10,TRUE
D21.8,0.06942125,0.93057875,D22.4,YES,D10,D10,TRUE
D22.4,0.021439864,0.978560136,D22.8,YES,D10,D10,TRUE
D22.8,0.020017312,0.979982688,D23.5,YES,D10,D10,TRUE
